A-Paar,B-Paar,count,p(joint),p(A-Paar),p(B-Paar),lift
17·17,19·43,2,0.00023551577955723034,0.024258125294394726,0.011893546867640131,0.8163029895222532
17·29,7·67,2,0.00023551577955723034,0.011422515308525671,0.025435704192180875,0.81061473844979
17·17,31·43,1,0.00011775788977861517,0.024258125294394726,0.006005652378709373,0.8083000190367409
5·137,7·79,1,0.00011775788977861517,0.007183231276495525,0.020372114931700425,0.8047000852838055
17·17,19·31,3,0.0003532736693358455,0.024258125294394726,0.018605746585021198,0.7827209045102618
5·41,19·43,3,0.0003532736693358455,0.0380357983984927,0.011893546867640131,0.7809214357968305
17·17,19·67,1,0.00011775788977861517,0.024258125294394726,0.006241168158266604,0.7777981315259204
5·29,7·163,3,0.0003532736693358455,0.06064531323598681,0.007536504945831371,0.7729368932038835
5·53,7·199,1,0.00011775788977861517,0.026966556759302873,0.005652378709373528,0.772561863173217
5·149,7·67,1,0.00011775788977861517,0.006123410268487989,0.025435704192180875,0.7560541310541311
5·197,19·19,1,0.00011775788977861517,0.004357041921808761,0.03579839849269901,0.7549786628733998
5·89,19·43,1,0.00011775788977861517,0.013306641544983514,0.011893546867640131,0.7440637869096645
5·89,19·19,3,0.0003532736693358455,0.013306641544983514,0.03579839849269901,0.7416162086632511
17·41,7·31,3,0.0003532736693358455,0.00706547338671691,0.06818181818181818,0.7333333333333334
5·101,7·103,1,0.00011775788977861517,0.011069241639189827,0.01460197833254828,0.7285518188057652
5·53,31·43,1,0.00011775788977861517,0.026966556759302873,0.006005652378709373,0.7271170476924396
5·101,7·43,3,0.0003532736693358455,0.011069241639189827,0.04439472444653792,0.7188893278401715
17·53,19·19,1,0.00011775788977861517,0.004592557701365992,0.03579839849269901,0.7162618083670715
17·17,7·79,3,0.0003532736693358455,0.024258125294394726,0.020372114931700425,0.7148549301307592
5·29,7·151,3,0.0003532736693358455,0.06064531323598681,0.008243052284503062,0.7066851595006934
17·29,7·103,1,0.00011775788977861517,0.011422515308525671,0.01460197833254828,0.7060192883272365
5·53,19·31,3,0.0003532736693358455,0.026966556759302873,0.018605746585021198,0.7041070145376154
5·53,19·67,1,0.00011775788977861517,0.026966556759302873,0.006241168158266604,0.6996786685342342
5·113,19·31,1,0.00011775788977861517,0.009420631182289214,0.018605746585021198,0.6718354430379747
5·173,19·19,1,0.00011775788977861517,0.004945831370701837,0.03579839849269901,0.6651002506265665
17·41,7·67,1,0.00011775788977861517,0.00706547338671691,0.025435704192180875,0.6552469135802469
5·137,7·67,1,0.00011775788977861517,0.007183231276495525,0.025435704192180875,0.6445051608986035
17·17,7·163,1,0.00011775788977861517,0.024258125294394726,0.007536504945831371,0.6441140776699029
5·41,19·79,1,0.00011775788977861517,0.0380357983984927,0.004945831370701837,0.6259767064720626
5·113,7·79,1,0.00011775788977861517,0.009420631182289214,0.020372114931700425,0.6135838150289017
5·89,7·103,1,0.00011775788977861517,0.013306641544983514,0.01460197833254828,0.6060519554667427
17·17,7·151,1,0.00011775788977861517,0.024258125294394726,0.008243052284503062,0.5889042995839111
